symbol,roe,roce,debt_equity,promoter_holding,sales_growth_3y,profit_growth_3y,pe,peg,checks_passed,quality_pass
RELIANCE,8.91,10.3,0.45,50.48,6.0,5.0,23.7,4.74,2,False
TCS,51.8,63.0,0.11,71.77,6.0,8.0,15.9,1.99,4,False
HDFCBANK,13.6,7.02,1.0,0.0,27.0,18.0,14.2,0.79,2,False
INFY,31.9,40.0,0.1,13.82,7.0,8.0,15.2,1.9,3,False
ICICIBANK,15.9,7.18,0.61,,17.0,17.0,18.1,1.06,3,False
SBIN,15.4,6.13,1.3,55.47,14.0,14.0,11.7,0.84,4,False
BHARTIARTL,20.3,17.6,1.31,50.07,15.0,45.0,39.8,0.88,5,True
LT,15.9,14.6,1.15,,16.0,17.0,31.7,1.86,3,False
KOTAKBANK,11.4,6.98,0.53,25.87,18.0,9.0,19.4,2.16,1,False
AXISBANK,13.1,6.24,1.3,7.87,15.0,35.0,13.6,0.39,2,False
PERSISTENT,27.2,34.4,0.06,30.29,21.0,28.0,44.2,1.58,6,True
COFORGE,21.4,23.5,0.08,0.0,27.0,33.0,41.9,1.27,5,True
POLYCAB,23.0,33.2,0.02,61.46,27.0,28.0,48.6,1.74,6,True
CUMMINSIND,30.2,39.5,0.0,51.0,16.0,26.0,61.4,2.36,6,True
SUPREMEIND,15.8,20.7,0.01,48.96,7.0,3.0,43.8,14.6,4,False
PAGEIND,,,,42.89,,,,,1,False
MFSL,1.52,2.87,0.35,1.25,15.0,-40.0,489.0,,2,False
ASTRAL,13.8,19.2,0.06,54.22,8.0,6.0,70.6,11.77,3,False
APLAPOLLO,25.3,31.6,0.09,28.25,13.0,23.0,47.1,2.05,5,True
BALKRISIND,9.66,11.2,0.38,58.3,4.0,1.0,32.5,32.5,2,False
TATAELXSI,39.3,60.0,0.0,43.9,16.0,43.0,230.0,5.35,6,True
DEEPAKNTR,9.82,11.4,0.28,49.34,0.0,-13.0,29.7,,2,False
PIIND,11.2,15.0,0.03,46.09,1.0,-1.0,35.0,,3,False
SCHAEFFLER,20.2,27.3,0.01,74.13,12.0,10.0,50.4,5.04,5,True
KPITTECH,20.9,26.3,0.24,38.59,24.0,21.0,27.0,1.29,6,True
TRENT,27.7,28.3,0.37,37.01,35.0,71.0,86.8,1.22,6,True
CROMPTON,10.6,18.1,0.07,0.0,6.0,-10.0,35.3,,2,False
GODREJPROP,8.82,7.63,0.83,51.66,32.0,49.0,37.0,0.76,3,False
OBEROIRLTY,14.6,17.3,0.16,67.71,13.0,9.0,25.4,2.82,4,False
IPCALAB,15.7,17.0,0.1,44.72,16.0,37.0,32.0,0.86,6,True
RADICO,20.3,24.2,0.15,40.19,24.0,41.0,87.7,2.14,6,True
ROUTE,12.6,17.4,0.02,74.85,7.0,0.0,8.99,,3,False
CLEAN,15.3,20.6,0.0,51.29,1.0,-8.0,37.5,,4,False
ANGELONE,15.6,14.8,1.3,28.59,20.0,1.0,25.4,25.4,2,False
CDSL,24.5,32.0,0.0,15.0,27.0,18.0,59.6,3.31,5,True
IEX,39.4,51.4,0.01,,15.0,19.0,21.9,1.15,5,True
CAMS,36.3,47.0,0.05,0.0,16.0,17.0,38.2,2.25,5,True
RAILTEL,12.0,16.2,0.03,72.84,20.0,3.0,48.3,16.1,4,False
TIINDIA,9.95,17.1,0.1,43.93,15.0,-11.0,84.4,,4,False
SONACOMS,11.3,14.2,0.07,28.01,19.0,18.0,67.9,3.77,3,False
AFFLE,13.8,16.8,0.0,54.91,24.0,23.0,49.2,2.14,5,True
LATENTVIEW,11.9,15.8,0.02,65.1,25.0,8.0,30.2,3.77,4,False
NAVINFLUOR,19.6,21.0,0.32,27.08,17.0,21.0,53.1,2.53,5,True
FINEORG,16.5,21.5,0.03,75.0,-8.0,-13.0,36.0,,4,False
GRINDWELL,16.2,21.2,0.02,58.04,7.0,3.0,55.0,18.33,4,False
JBCHEPHARM,18.9,25.4,0.0,48.8,10.0,21.0,53.8,2.56,5,True
AARTIIND,7.13,6.85,0.83,41.82,8.0,-9.0,37.1,,1,False
GALAXYSURF,10.9,13.5,0.09,70.91,6.0,-10.0,24.5,,2,False
VINATIORGA,14.9,19.8,0.0,74.29,3.0,2.0,30.9,15.45,3,False
ALKYLAMINE,41.4,41.3,0.16,72.04,26.0,54.0,51.7,0.96,6,True
CUPID,27.3,33.5,0.12,46.24,,,288.0,,4,False
