symbol,price,roc_pct,vol_surge,score,market_cap_cr
EDELWEISS,132.43,7.96,2.36,46.5,12511.0
IVC,9.11,10.16,1.85,32.73,285.0
PURVA,212.06,-2.82,2.01,28.42,5030.0
TEXRAIL,117.81,10.22,1.67,27.21,4794.0
CSLFINANCE,220.98,0.9,1.85,26.2,
RPOWER,21.58,-5.02,1.49,11.29,8917.0
JPPOWER,16.02,-7.88,1.55,10.93,10972.0
VARDHACRLC,44.06,-1.23,1.15,3.6,
GSFC,155.95,-2.45,1.18,3.59,6210.0
AUSOMENT,152.59,3.76,1.01,2.92,209.0
RITES,209.15,-5.39,1.08,-1.33,10054.0
JMFINANCIL,124.47,-1.55,0.91,-3.67,11901.0
APTUS,249.11,-0.55,0.89,-3.8,12466.0
IRCON,113.26,-9.08,1.08,-3.87,10644.0
KNRCON,125.66,-6.64,1.02,-4.1,3532.0
IRFC,81.09,-7.4,1.02,-4.67,
TRIDENT,23.39,-3.9,0.9,-5.72,11914.0
NCC,140.94,1.1,0.75,-6.75,8843.0
SOUTHBANK,46.18,2.12,0.66,-8.86,12096.0
PATELENG,26.61,-6.47,0.82,-9.87,2644.0
SPANDANA,235.37,-4.24,0.71,-11.65,1676.0
IBREALEST,57.6,-7.51,0.73,-13.32,
RTNINDIA,27.68,-9.19,0.77,-13.36,3826.0
PTC,152.78,-4.88,0.6,-15.27,4519.0
PSB,22.73,-4.01,0.57,-15.7,
UGROCAP,83.66,-9.8,0.62,-18.19,1294.0
MOIL,244.93,-10.66,0.63,-18.42,4983.0
NFL,68.49,-4.62,0.47,-19.04,3359.0
PNCINFRA,175.4,-19.51,0.78,-20.26,4506.0
NETWORK18,26.64,-7.98,0.44,-22.5,4106.0
MADRASFERT,61.83,-5.69,0.35,-23.53,
ZEEL,79.36,-24.33,0.75,-24.58,7619.0
RCF,111.45,-10.16,0.4,-24.99,6147.0
TTML,35.6,-6.68,0.27,-26.46,6956.0
ASHOKA,113.86,1.31,0.08,-26.55,3197.0
SPENTEX,48.93,0.72,0.0,-29.5,
