Date,Symbol,Signal,BuyPrice,CurrentPrice,Target,StopLoss,PnL%,Status
2026-08-10 04:40,M&M,BREAKOUT BUY,3513.5,3510.1,3584.15,3466.4,-0.1,HOLDING
2026-08-10 04:40,INFY,BREAKOUT BUY,1188.5999755859375,1188.3,1215.69,1170.54,-0.03,HOLDING
2026-08-10 04:40,TITAN,BREAKOUT BUY,5067.89990234375,5078.4,5235.78,4955.98,0.21,HOLDING
2026-08-10 04:40,GRASIM,BREAKOUT BUY,3369.89990234375,3369.1,3518.67,3270.72,-0.02,HOLDING
2026-08-10 04:40,HEROMOTOCO,BREAKOUT BUY,5901.0,5898.5,6250.26,5668.16,-0.04,HOLDING
2026-08-10 06:33,M&M,BREAKOUT BUY,3513.5,3525.1,3584.15,3466.4,0.33,HOLDING
2026-08-10 06:33,INFY,BREAKOUT BUY,1188.5999755859375,1183.3,1215.69,1170.54,-0.45,HOLDING
2026-08-10 06:33,TITAN,BREAKOUT BUY,5067.89990234375,5076.5,5235.78,4955.98,0.17,HOLDING
2026-08-10 06:33,GRASIM,BREAKOUT BUY,3369.89990234375,3389.3,3518.67,3270.72,0.58,HOLDING
2026-08-10 06:33,HEROMOTOCO,BREAKOUT BUY,5901.0,5851.5,6250.26,5668.16,-0.84,HOLDING
2026-08-10 09:01,M&M,BREAKOUT BUY,3513.5,3517.3,3584.15,3466.4,0.11,HOLDING
2026-08-10 09:01,INFY,BREAKOUT BUY,1188.5999755859375,1185.3,1215.69,1170.54,-0.28,HOLDING
2026-08-10 09:01,TITAN,BREAKOUT BUY,5067.89990234375,5059.6,5235.78,4955.98,-0.16,HOLDING
2026-08-10 09:01,GRASIM,BREAKOUT BUY,3369.89990234375,3382.0,3518.67,3270.72,0.36,HOLDING
2026-08-10 09:01,HEROMOTOCO,BREAKOUT BUY,5901.0,5873.0,6250.26,5668.16,-0.47,HOLDING
2026-08-11 06:15,M&M,BREAKOUT BUY,3513.5,3500.2,3584.15,3466.4,-0.38,HOLDING
2026-08-11 06:15,INFY,BREAKOUT BUY,1188.5999755859375,1190.0,1215.69,1170.54,0.12,HOLDING
2026-08-11 06:15,TITAN,BREAKOUT BUY,5067.89990234375,5134.4,5235.78,4955.98,1.31,HOLDING
2026-08-11 06:15,GRASIM,BREAKOUT BUY,3369.89990234375,3350.9,3518.67,3270.72,-0.56,HOLDING
2026-08-11 06:15,HEROMOTOCO,BREAKOUT BUY,5901.0,5870.5,6250.26,5668.16,-0.52,HOLDING
2026-08-12 08:09,M&M,BREAKOUT BUY,3513.5,3413.4,3584.15,3466.4,-2.85,SL HIT
2026-08-12 08:09,INFY,BREAKOUT BUY,1188.5999755859375,1165.2,1215.69,1170.54,-1.97,SL HIT
2026-08-12 08:09,TITAN,BREAKOUT BUY,5067.89990234375,5018.3,5235.78,4955.98,-0.98,HOLDING
2026-08-12 08:09,GRASIM,BREAKOUT BUY,3369.89990234375,3368.0,3518.67,3270.72,-0.06,HOLDING
2026-08-12 08:09,HEROMOTOCO,BREAKOUT BUY,5901.0,5899.0,6250.26,5668.16,-0.03,HOLDING
2026-08-13 08:10,M&M,BREAKOUT BUY,3513.5,3417.9,3584.15,3466.4,-2.72,SL HIT
2026-08-13 08:10,INFY,BREAKOUT BUY,1188.5999755859375,1169.9,1215.69,1170.54,-1.57,SL HIT
2026-08-13 08:10,TITAN,BREAKOUT BUY,5067.89990234375,5032.0,5235.78,4955.98,-0.71,HOLDING
2026-08-13 08:10,GRASIM,BREAKOUT BUY,3369.89990234375,3249.8,3518.67,3270.72,-3.56,SL HIT
2026-08-13 08:10,HEROMOTOCO,BREAKOUT BUY,5901.0,5880.0,6250.26,5668.16,-0.36,HOLDING
2026-08-14 05:04,M&M,BREAKOUT BUY,3513.5,3385.9,3584.15,3466.4,-3.63,SL HIT
2026-08-14 05:04,INFY,BREAKOUT BUY,1188.5999755859375,1166.7,1215.69,1170.54,-1.84,SL HIT
2026-08-14 05:04,TITAN,BREAKOUT BUY,5067.89990234375,5073.3,5235.78,4955.98,0.11,HOLDING
2026-08-14 05:04,GRASIM,BREAKOUT BUY,3369.89990234375,3244.8,3518.67,3270.72,-3.71,SL HIT
2026-08-14 05:04,HEROMOTOCO,BREAKOUT BUY,5901.0,5799.0,6250.26,5668.16,-1.73,HOLDING
2026-08-14 08:51,M&M,BREAKOUT BUY,3513.5,3420.9,3584.15,3466.4,-2.64,SL HIT
2026-08-14 08:51,INFY,BREAKOUT BUY,1188.5999755859375,1165.5,1215.69,1170.54,-1.94,SL HIT
2026-08-14 08:51,TITAN,BREAKOUT BUY,5067.89990234375,5054.0,5235.78,4955.98,-0.27,HOLDING
2026-08-14 08:51,GRASIM,BREAKOUT BUY,3369.89990234375,3249.2,3518.67,3270.72,-3.58,SL HIT
2026-08-14 08:51,HEROMOTOCO,BREAKOUT BUY,5901.0,5785.5,6250.26,5668.16,-1.96,HOLDING
