Date,Symbol,BuyPrice,CurrentPrice,Target,StopLoss,PnL%,Status
2026-08-09 14:25,HINDALCO,1059.6,1059.6,1166.86,1005.97,0.0,HOLDING
2026-08-09 14:25,SBIN,1097.2,1097.2,1200.54,1045.53,0.0,HOLDING
2026-08-09 14:25,HAL,4910.0,4910.0,5357.46,4686.27,0.0,HOLDING
2026-08-09 14:25,GRASIM,3323.0,3323.0,3627.68,3170.66,0.0,HOLDING
2026-08-09 14:25,HEROMOTOCO,5725.0,5725.0,6147.56,5513.72,0.0,HOLDING
2026-08-10 04:39,HINDALCO,1059.6,1053.5,1166.86,1005.97,-0.58,HOLDING
2026-08-10 04:39,SBIN,1097.2,1085.0,1200.54,1045.53,-1.11,HOLDING
2026-08-10 04:39,HAL,4910.0,4920.0,5357.46,4686.27,0.2,HOLDING
2026-08-10 04:39,GRASIM,3323.0,3370.7,3627.68,3170.66,1.44,HOLDING
2026-08-10 04:39,HEROMOTOCO,5725.0,5893.5,6147.56,5513.72,2.94,HOLDING
2026-08-10 06:32,HINDALCO,1059.6,1043.3,1166.86,1005.97,-1.54,HOLDING
2026-08-10 06:32,SBIN,1097.2,1077.2,1200.54,1045.53,-1.82,HOLDING
2026-08-10 06:32,HAL,4910.0,4925.3,5357.46,4686.27,0.31,HOLDING
2026-08-10 06:32,GRASIM,3323.0,3388.7,3627.68,3170.66,1.98,HOLDING
2026-08-10 06:32,HEROMOTOCO,5725.0,5852.5,6147.56,5513.72,2.23,HOLDING
2026-08-10 09:00,HINDALCO,1059.6,1053.75,1166.86,1005.97,-0.55,HOLDING
2026-08-10 09:00,SBIN,1097.2,1077.0,1200.54,1045.53,-1.84,HOLDING
2026-08-10 09:00,HAL,4910.0,4943.8,5357.46,4686.27,0.69,HOLDING
2026-08-10 09:00,GRASIM,3323.0,3378.5,3627.68,3170.66,1.67,HOLDING
2026-08-10 09:00,HEROMOTOCO,5725.0,5873.0,6147.56,5513.72,2.59,HOLDING
